feature	Feature1	Feature2	Feature3	Feature4_TP	Feature5	Feature6	Feature7	Feature8	Feature9	Feature10	Feature11	Feature12	Feature13	Feature14	Feature16	Feature17	Feature18	Feature20	Feature21	Feature22	Feature23	Feature24	Feature25	Feature26	Feature27	Feature28	Feature29	Feature30	Feature31	Feature32	Feature33	Feature34	Feature35	Feature36	Feature37	Feature38	Feature39	Feature40_TP	Feature41	Feature42_TP	Feature43	Feature44	Feature45	Feature46	Feature47	Feature48	Feature49	Feature50
Sample1	0.00891512915129151	0.0269421894218942	0.023380073800738	0.0294612546125461	0.0245215252152522	0.0419286592865929	0.0137170971709717	0.00475276752767528	0.0112669126691267	0.0136186961869619	0.0233111931119311	0.0209987699876999	0.00377859778597786	0.0114243542435424	0.00612054120541205	0.0065239852398524	0.0325215252152522	0.0151045510455105	0.012319803198032	0.0161968019680197	0.00745879458794588	0.017840098400984	0.0368806888068881	0.0211070110701107	0.0146617466174662	0.00676014760147602	0.0106469864698647	0.0125854858548585	0.00790159901599016	0.0206445264452645	0.0604969249692497	0.0198769987699877	0.0611857318573186	0.053569495694957	0.0184206642066421	0.0139434194341943	0.0152423124231242	0.0177712177121771	0.0151931119311193	0.0188733087330873	0.0245215252152522	0.0314981549815498	0.0300024600246002	0.0281722017220172	0.00784255842558426	0.0462878228782288	0.0296383763837638	0.00417220172201722
Sample2	0.0317753718862776	0.0240735850717366	0.0141272775283866	0.0387729953349177	0.00264061262212833	0.0293988205263621	0.00770178681454097	0.0340198926150867	0.0114866649062583	0.00809787870786022	0.0113546342751518	0.0276824223219787	0.0222251562362468	0.0116627057477335	0.009506205439662	0.0133350937417481	0.0161957574157204	0.01879235982748	0.00937417480855558	0.0244696769650559	0.00858199102191709	0.0279464835841915	0.0296188715782061	0.0426018836370038	0.017428043306047	0.00778980723527858	0.0117507261684711	0.0165478390986709	0.0168119003608837	0.0100783381744565	0.039609189331925	0.0248657688583751	0.0104744300677757	0.012674940586216	0.00651351113458322	0.0352081682950445	0.00255259220139072	0.0217410439221899	0.0343279640876683	0.0275944019012411	0.035076137663938	0.0301469941026318	0.023325411495467	0.0392571076489746	0.045506557521345	0.0198486048763313	0.0232814012850981	0.0121468180617903
Sample3	0.032101460724186	0.0134007440070092	0.017853295606337	0.043089209025753	0.0201801128937276	0.0230527268287778	0.039426626258564	0.0379615931516884	0.014535426511354	0.00731080246470276	0.00828749120261982	0.00779914683366129	0.00578831707912615	0.00544360340692013	0.0143917958146015	0.0229665484107263	0.0125533228961694	0.0390675495166827	0.0303060770147796	0.021113712422619	0.0130991195438289	0.024661390632406	0.00754061157950677	0.0339399336426181	0.0187868951352283	0.0178963848153627	0.0115622710885771	0.01116010513767	0.00874710943222786	0.0168622437987447	0.0363098401390345	0.0374876118524051	0.0542780403027735	0.0362092986513078	0.0126251382445456	0.00326041681628198	0.0192752395041868	0.0274334630797294	0.00346149979173549	0.0318860146790572	0.0154259368312196	0.0141188974907717	0.00390675495166827	0.0203093805208049	0.0128405842896744	0.0614164859313733	0.0197779469428206	0.00909182310443388
Sample4	0.0306187050359712	0.0365851318944844	0.0325563549160671	0.0359904076738609	0.0222541966426859	0.0462350119904077	0.0265131894484412	0.0249016786570743	0.0058705035971223	0.0144460431654676	0.0187817745803357	0.0259952038369305	0.014599520383693	0.0228681055155875	0.010705035971223	0.0168249400479616	0.00727098321342926	0.0356067146282974	0.00707913669064748	0.0354532374100719	0.0181103117505995	0.0104172661870504	0.0121822541966427	0.0522014388489209	0.00379856115107914	0.0168441247002398	0.00790407673860911	0.0152517985611511	0.0182637889688249	0.00542925659472422	0.0257458033573141	0.0251702637889688	0.00500719424460432	0.0238465227817746	0.02810551558753	0.0205467625899281	0.0125659472422062	0.0235395683453237	0.0237314148681055	0.0262829736211031	0.0346858513189448	0.0206426858513189	0.0105323741007194	0.0254388489208633	0.0260911270983213	0.00924700239808154	0.018705035971223	0.00855635491606715
Sample5	0.0360134003350084	0.0297319932998325	0.0117252931323283	0.00984087102177554	0.0247068676716918	0.0437604690117253	0.021356783919598	0.0138190954773869	0.0358040201005025	0.0123534338358459	0.0410385259631491	0.0295226130653266	0.00586264656616415	0.0314070351758794	0.0140284757118928	0.016750418760469	0.0100502512562814	0.00565326633165829	0.0567420435510888	0.010678391959799	0.0163316582914573	0.0236599664991625	0.0190536013400335	0.0232412060301508	0.0180067001675042	0.0108877721943049	0.0117252931323283	0.00963149078726968	0.0150753768844221	0.0127721943048576	0.0177973199329983	0.0477386934673367	0.0475293132328308	0.00732830820770519	0.01821608040201	0.00460636515912898	0.0207286432160804	0.00711892797319933	0.00209380234505863	0.00649078726968174	0.00900335008375209	0.0529731993299832	0.0242881072026801	0.0383165829145729	0.01214405360134	0.0272194304857621	0.0169597989949749	0.01821608040201
Sample6	0.049382019301315	0.0349342513685874	0.0198092443140132	0.0371352785145889	0.0146735143066764	0.0239291156385801	0.0104972063886224	0.0140527117783171	0.0106100795755968	0.00993284045375021	0.00897341836446752	0.0196963711270388	0.0079011230882104	0.0253964670692477	0.00637733506405553	0.00886054517749309	0.00468423725943902	0.00519216660082397	0.012472487160675	0.0231954399232462	0.0149556972741125	0.0244934815734522	0.0406343473107963	0.0386026299452565	0.0143913313392404	0.0199785540944749	0.0134883458434449	0.038997686099667	0.00711101077938936	0.019244878379141	0.009876403860263	0.0371917151080761	0.0286697894915063	0.0482532874315706	0.0113437552909306	0.0311529996049438	0.00344263220272024	0.0221231446469891	0.0310965630114566	0.0302500141091484	0.0228568203623229	0.0300242677351995	0.0361758564253062	0.0215023421186297	0.0228003837688357	0.013262599469496	0.00496642022687511	0.0154071900220103
Sample7	0.0365906648066412	0.02760308276351	0.0359045898415167	0.0190957531959659	0.00258421570196904	0.0393807029981476	0.0221373522080179	0.0268941386328813	0.02275481967663	0.00782125460241956	0.030347382624008	0.032771514167448	0.0181809865757998	0.0131040318338784	0.0061746746861207	0.0134470693164406	0.00606032885859995	0.0225032588560843	0.0431769844718366	0.02396688544835	0.0225489971870926	0.00917053536716445	0.0415304045555378	0.0206508564502481	0.0102911244768678	0.0201019964781485	0.0112744985935463	0.0230292496626798	0.0134699384819448	0.0286550643767009	0.0381000297299152	0.0188670615409244	0.00889610538111464	0.0427653394927619	0.00638049717565806	0.00754682461636975	0.0158254625288723	0.0105426852974135	0.0137901067990029	0.0118690968966542	0.0262309328332609	0.0169460516385757	0.0253161662130949	0.0203078189676859	0.0218171838909598	0.0167859674800467	0.0370709172822284	0.00971939533926407
Sample8	0.0326376243171312	0.0205911192043704	0.0126068076761451	0.0179296820282953	0.00238128589438297	0.0378204230284354	0.0338983050847458	0.0338983050847458	0.014707942288836	0.00588317691553439	0.00490264742961199	0.0091049166549937	0.0117663538310688	0.0331979268805155	0.0137274128029136	0.0081243871690713	0.0138674884437596	0.0275949012466732	0.0470654153242751	0.0275949012466732	0.0114862025493767	0.0126068076761451	0.00868468973245553	0.0453845076341224	0.00462249614791988	0.0142877153662978	0.0242330858663678	0.0184899845916795	0.0155483961339123	0.0261941448382126	0.0451043563524303	0.0131671102395293	0.0228323294579073	0.0649950973525704	0.00490264742961199	0.0081243871690713	0.0190502871550637	0.0105056730634543	0.00546294999299622	0.014707942288836	0.0379604986692814	0.0413223140495868	0.00182098333099874	0.0306765653452865	0.0549096512116543	0.0137274128029136	0.0116262781902227	0.00826446280991736
Sample9	0.0425729442970822	0.0090185676392573	0.0179045092838196	0.00464190981432361	0.0328912466843501	0.0270557029177719	0.0107427055702918	0.0377984084880637	0.0159151193633952	0.0206896551724138	0.0262599469496021	0.00212201591511936	0.00623342175066313	0.0330238726790451	0.0149867374005305	0.00490716180371353	0.00822281167108753	0.0221485411140584	0.0416445623342175	0.0259946949602122	0.00689655172413793	0.00490716180371353	0.0249336870026525	0.0425729442970822	0.0208222811671088	0.0225464190981432	0.013262599469496	0.0226790450928382	0.019893899204244	0.0289124668435013	0.0538461538461538	0.0151193633952255	0.0246684350132626	0.0253315649867374	0.00437665782493369	0.0302387267904509	0.0204244031830239	0.00185676392572944	0.00238726790450928	0.00225464190981432	0.0183023872679045	0.013395225464191	0.016710875331565	0.00755968169761273	0.0502652519893899	0.046551724137931	0.0379310344827586	0.01657824933687
Sample10	0.0450922818791946	0.033871644295302	0.0266359060402685	0.0160444630872483	0.0207634228187919	0.0126887583892617	0.010381711409396	0.00996224832214765	0.0104865771812081	0.00975251677852349	0.016883389261745	0.0124790268456376	0.0151006711409396	0.00492869127516779	0.0075503355704698	0.0171979865771812	0.0328229865771812	0.0214974832214765	0.0467701342281879	0.00513842281879195	0.016988255033557	0.0293624161073825	0.0420511744966443	0.0408976510067114	0.0112206375838926	0.0108011744966443	0.0171979865771812	0.00838926174496644	0.0111157718120805	0.0204488255033557	0.0644924496644295	0.0357592281879195	0.0721476510067114	0.0614513422818792	0.0256921140939597	0.00178271812080537	0.0218120805369128	0.00985738255033557	0.00230704697986577	0.00796979865771812	0.0123741610738255	0.0329278523489933	0.00608221476510067	0.0166736577181208	0.00943791946308725	0.00314597315436242	0.0137374161073825	0.0178271812080537
Sample11	0.0499254843517139	0.0200074515648286	0.0201564828614009	0.0290238450074516	0.00901639344262295	0.0256333830104322	0.00819672131147541	0.0290983606557377	0.00927719821162444	0.0162071535022355	0.0301415797317437	0.0124068554396423	0.0264903129657228	0.00543964232488823	0.0241803278688525	0.00283159463487332	0.0224292101341282	0.00801043219076006	0.0033532041728763	0.0137853949329359	0.0175111773472429	0.0207153502235469	0.00648286140089419	0.0401266766020864	0.00778688524590164	0.00890461997019374	0.00551415797317437	0.0273099850968703	0.0188152011922504	0.0294336810730253	0.0226527570789866	0.0442250372578241	0.0634500745156483	0.0200074515648286	0.0264903129657228	0.0179582712369598	0.0173994038748137	0.0170640834575261	0.030849478390462	0.0222429210134128	0.00991058122205663	0.0416169895678092	0.0128166915052161	0.0121833084947839	0.0352086438152012	0.0208271236959762	0.0304396423248882	0.00644560357675112
Sample12	0.0314111982154922	0.0202580243868435	0.0297382221411949	0.013694810556908	0.0148208521453773	0.0495458298926507	0.0131907728934979	0.0346284598968331	0.00871877915643399	0.00841850139950883	0.0343710789623259	0.0157324096217573	0.000568382897036902	0.0154321318648321	0.0216199984986112	0.0105418941091939	0.01314787607108	0.0267354445719433	0.00438620009222817	0.0111102770062308	0.013351635977565	0.0158718242946154	0.00558731111992879	0.0422533700816112	0.0210945124239922	0.0121398007442599	0.00225208317693867	0.0228640063487297	0.0135232232672365	0.0286550773751434	0.036290711765526	0.0437118620438191	0.0222420024236705	0.00715304513818139	0.0052655849517947	0.0263708215813914	0.0101665469130374	0.0114641757911783	0.0271644127961221	0.0106920329876564	0.0338134202708934	0.0394436282132401	0.0239793237315946	0.0527416431627827	0.0128368741085504	0.0375347196156445	0.024558430834236	0.0189067744806803
Sample13	0.00253140821301331	0.0115319707481718	0.00900056253515845	0.0539096193512094	0.0149071816988562	0.0243765235327208	0.00759422463903994	0.0431276954809676	0.0303768985561598	0.00703168948059254	0.0344084005250328	0.0103131445715357	0.0285017813613351	0.0105006562910182	0.0223138946184137	0.0186574160885055	0.0266266641665104	0.0192199512469529	0.0249390586911682	0.0270954434652166	0.0147196699793737	0.00271891993249578	0.0136883555222201	0.00834427151696981	0.0123757734858429	0.00440652540783799	0.00487530470654416	0.031689480592537	0.0129383086442903	0.0251265704106507	0.0135945996624789	0.0148134258391149	0.0335645977873617	0.0422838927432965	0.0245640352522033	0.0150946934183386	0.015657228576786	0.0311269454340896	0.020063753984624	0.0390961935120945	0.0275642227639227	0.0126570410650666	0.00375023438964935	0.0406900431276955	0.0463153947121695	0.0291580723795237	0.0209075567222951	0.0112507031689481
Sample14	0.0322243600361871	0.0208330678763013	0.00806564646220104	0.0356519412341841	0.0188325836826748	0.0336514570405576	0.00704629145907927	0.0277009722098342	0.01146774378512	0.0225404875065302	0.0203998419999745	0.0127419375390222	0.00988774353028121	0.0288859724009633	0.00461258138912603	0.0173800028032263	0.0234961328219569	0.0201450032491941	0.0339190377288771	0.0237637135102764	0.0201704871242721	0.0233687134465667	0.0330653279137626	0.039627425746359	0.00768338833603038	0.0160293574240899	0.0123851632879296	0.038493393305386	0.00973484027981295	0.0194314547470088	0.0571475898625145	0.0147169378575706	0.034454199105516	0.00621806551904283	0.0186669384946675	0.0302748435927167	0.00702080758400122	0.0195588741223991	0.00606516226857456	0.0242479071367592	0.0180553254927944	0.0256877460786687	0.0136848409169098	0.00596322676826238	0.0204253258750526	0.0249487137014054	0.027000165645188	0.012627260101171
